,,What are the errors introduced by the simplification when adding the additional electricity demand from domestic heat pumps?,"The errors introduced by the simplification are small in comparison to other expected changes in electricity demand, such as an increase in non-domestic electric heating and EV charging",,,
,,What is the 'base case' heat pump deployment calculation?,"The 'base case' heat pump deployment calculation is 100% of GB homes 258 million had heat pumps, and the heat pump types, heat pump performance and heating patterns, were as found in the RHPP trial",,,
,,What weather data was used for the base case?,The weather for 2010 was used for the base case,,,
,,What reliability is National Grid legally obliged to ensure?,National Grid is legally obliged to ensure that the gas network is capable of meeting demand on a â€˜1 in 20 peak dayâ€™,,,
,,What is the weather data to estimate typical annual energy cost and CO2 emissions?,The 2003 weather data is used to estimate typical annual energy cost and CO2 emissions,,,
,,What is the purpose of load shifting?,The purpose of load shifting is to relieve the electricity load on the national grid,,,
,,What is the mix of heat pumps types in France?,"In France, a more mature heat pump market, GSHPs are becoming rare",,,
,,What is the performance of 100% heat pumps?,100% heat pumps have â€˜Goodâ€™ performance,,,
,,What percentage of households in Great Britain have the stated variation?,100% of households in Great Britain have the stated variation,,,
,,What is the reliability standard for the electricity network?,The reliability standard for the electricity network is defined as a Loss Of Load Expectation LOLE of 3 h per year,,,
,,What percentage of space heating demand was made flexible?,20% of space heating demand was made flexible,,,
,,What were the three cases investigated?,"The three cases investigated were base case no flexibility, shifting DHW demand and shifting DHW and 20% of space heating demand",,,
,,What percentage of homes have sufï¬cient storage and heat pump capacity for space heating?,20% of homes have sufï¬cient storage and heat pump capacity for space heating,,,
,,What was the aim of demand shifting?,The aim of demand shifting was to produce a GB electricity load profile that was as flat as possible,,,
,,What is the total half hourly GB electricity demand that would result for a cold year in the 2020s if all homes had heat pumps?,The total half hourly GB electricity demand that would result for a cold year in the 2020s if all homes had heat pumps is the sum of the heat pump electricity demand and GB electricity demand in 2010,,,
,,What is the peak GB electricity demand on 20th December?,The peak GB electricity demand on 20th December is 132 GW,,,
,,What is the total GB electricity demand on 27th June?,The total GB electricity demand on 27th June is 08 TWh,,,
,,How does the total GB electricity demand increase with heat pump deployment?,"The total GB electricity demand increases linearly with heat pump deployment, at roughly 19 TWh for each percentage point of annual domestic heat met by heat pumps",,,
,,How does the peak electricity demand increase with heat pump deployment?,"The peak electricity demand increases linearly, by roughly 07 GW for each percent of domestic heat met by heat pumps",,,
,,What percentage of daily heat demand was found sufficient for smoothing demand by Pudjianto et al?,Pudjianto et al found that heat storage of around 25% of daily heat demand was sufficient for smoothing demand,,,
,,What is annual load factor?,"The annual load factor is the mean half-hourly demand divided by the peak half-hourly demand for the year in question, and a higher annual load factor means that electricity generation and transmission assets are being used closer to full power more of the time",,,
,,What is the maximum ramp rate if all GB heat pumps were GSHPs?,The maximum ramp rate would be reduced by 26%,,,
,,What is the percentage reduction in electricity demand if all GB heat pumps had â€œgoodâ€ or â€œvery goodâ€ performance?,"The percentage reduction in electricity demand would be around 15% for ASHPs and GSHPs with â€œgoodâ€ performance, and 30% for heat pumps with â€œvery goodâ€ performance",,,
,,What is the maximum ramp rate for heat pump demand in the base case?,116 GW/h,,,
,,What is the peak demand for GB total electricity demand in the base case?,59 GW,,,
,,What was the effect of introducing thermal storage to smooth the electricity demand?,"The introduction of flexibility resulted in flatter GB electricity demand profiles, reducing the peak GB electricity demand by 15% and the ramp rate by 46%",,,
,,What was the impact of only making DHW demand flexible?,"If only DHW demand was flexible, the peak demand decreased by 5%, but the ramp rate was unchanged",,,
,,How will climate change effect the annual energy demand of heat pumps?,The annual energy demand of heat pumps will be reduced by 11-14% in cold year in the 2050s compared to a cold year in the 2020s 2010,,,
,,How does the introduction of flexibilty affect the peak GB electricity demand?,"The peak GB electricity demand with flexibility of DHW 125 GW, or DHW plus 20% of heating 112 GW, is less than that obtained if all heat pumps use a continuous heating pattern without flexibility 128 GW, Table 7",,,
,,What is the peak demand GW when the heat pump penetration is 75%?,114 GW,,,
,,"What is the time of peak demand for scenarios with 50%, 75%, and 100% heat pump penetration?",1800,,,
,,What are the different levels of performance for either ASHP or GSHP?,"The performance levels include current performance ie 2020s, above average, average, and below average",,,
,,What is the effect of climate change on peak demand between the 2020s and 2050s?,The peak demand decreased by 16% for ASHPs and 10% for GSHPs between the 2020s and 2050s,,,
,,What are the base case values for the Heat Pump penetration?,The base case values for Heat Pump penetration is 100%,,,
,,What is the Heat Pump operating pattern as in RHPP trial?,The Heat Pump operating pattern as in RHPP trial is described in Table 2,,,
,,What is the base case for the heat pumps' performances?,The base case for the heat pumps' performances is a mix of 75% ASHP and 25% GSHP,,,
,,What is the annual load factor for 100% of DHW and 20% of space heat demand with flexibility?,62%,,,
,,What is the peak demand when there is no flexibility?,125 GW -5%,,,
,,What does Fig 8 show?,Fig 8 shows the effect of demand flexibility on the load duration curve of total half-hourly GB electricity demand,,,
,,What factors influence the peak demands shown in Figs 9-11?,"The peak demands shown in Figs 9-11 are for the GB electricity system as a whole, along with the heat pump demand at the same time",,,
,,What is the annual demand of heat pumps in the 2020s and 2050â€™s cold weather years?,"The annual demand of heat pumps in the 2020s cold weather years is 189 TWh, and in the 2050s cold weather years it is 155 TWh",,,
,,What is the peak demand of 100% GSHP in typical weather years in the 2020s?,The peak demand of 100% GSH,,,
,,What is the minimum outdoor temperature?,-18 Â°C,,,
,,What is the estimated GB electricity demand for the Best Estimate Models?,"53 TWh Annual, 31 GW Peak",,,
,,What is the COP of an ASHP at time of peak heat pump demand?,The COP of an ASHP decreases by 20% at time of peak heat pump demand,,,
,,What is the outdoor temperature at which peak demand is based on?,The outdoor temperature at which peak demand is based on is -18 Â°C,,,
,,How are the base values assumed?,Base values are assumed as per Table 2,,,
,,What is the practical point of view in relation to peak demand?,From a practical point of view the maximum ramp rate for heat pump electricity demand may not be at the same time as the maximum ramp rate for general electricity demand,,,
,,What influences the peak and annual total electricity demand?,The peak and annual total electricity demand are heavily influenced by the heat pumps,,,
,,How does heating pattern impact annual heat pump electricity demand?,Heating pattern has a relatively small impact on annual heat pump electricity demand,,,
,,What is the most likely scenario for 2050?,The '2050s Best Estimate' scenario assumes a heat pump penetration rate of 80% due to the proportion of the housing stock which is unsuitable for heat pumps,,,
,,What factors play a role in differences in peak demand between scenarios?,"The differences in peak demand between scenarios are due to the heat pump heating pattern, heat pump performance, uptake and weather, and demand flexibility",,,
,,What is the mix of heat pump types assumed to remain unchanged in the RHPP Trials?,75% ASHP and 25% GSHP,,,
,,What are some countries where ASHPs currently dominate the market?,France,,,
,,What is the estimated increase in heat pump performance?,It is assumed that all heat pumps operate with â€˜goodâ€™ performance SPFH4 >25,,,
,,What was the basis of the calculations used?,The calculations are based on a stock of 258 million occupied homes since the domestic heat pump electricity demand in the 2050s will mostly arise from dwellings that already exist,,,
,,What is the purpose of the analysis undertaken for cold and typical weather years for the 2050s?,"The purpose of the analysis is to calculate the necessary increase in generating capacity for the peak demand in a cold year, and to estimate the typical annual GB and heat pump electricity demand for a typical year in order to calculate the GB system operating costs and CO2 emissions",,,
,,How much is the total GB electricity demand calculated to be in a typical year in the 2050s?,The total GB electricity demand was calculated to be 400 TWh in a typical year in the 2050s,,,
,,What is the peak GB electricity demand in a cold year in the 2050s?,The peak GB electricity demand in a cold year in the 2050s was 89 GW,,,
,,What is the annual load factor of the total GB electricity demand in a cold year in the 2050s?,"The annual load factor of the total GB electricity demand in a cold year in the 2050s is 53%, which is a reduction of nine percentage points compared to the annual load factor for the current GB demand in a cold year 62% in 2010",,,
,,What is the key observation from this paper?,"The key observation from this paper is that the annual electricity demand is generally lower than in other's work, due to accounting for the warming climate between 2010 and 2050",,,
,,What is the difference in the demand proï¬le for heat pumps compared to other forms of heating?,The within-day variation in demand demand proï¬le is flatter for heat pumps than for other forms of heating and becomes even flatter as the outdoor temperature falls,,,
,,What is the importance of improving the in-situ performance of both air source and ground source heat pumps?,"Improving the in-situ performance of both air source and ground source heat pumps will reduce peak demand, annual demand and the maximum ramp rate, all of which will reduce the costs of a widespread uptake of heat pumps",,,
,,Does the pattern of heating have a statistically significant effect on heat pumps' SPF?,"No, the pattern of heating was found not to have a statistically significant effect on heat pumps' SPF",,,
,,What is the estimated change in mean gas demand per dwelling between 2009 and 2019?,The temperature-corrected mean gas demand per dwelling fell by 23% between 2009 and 2019,,,
,,What is estimated to have contributed to the decline in mean gas demand per dwelling?,"It is estimated that of this change, 10% was due to improvements on boiler efficiency and the construction of new, more efficient dwellings, and the remaining 13% was due to fabric efficiency improvements in existing dwellings",,,
,,What was the estimated reduction in heat demand for GB stock between 2020 and 2050?,The CCC estimate a further reduction in the average heat demand of the GB stock of 12% between 2020 and 2050,,,
,,How many more homes are projected to be in GB in 2050 compared to 2010?,"If current housebuilding trends continue, there will be around six million more homes in GB in 2050 than 2010",,,
,,What is the purpose of using heat storage to achieve load-shifting?,"The purpose of using heat storage to achieve load-shifting is so that the timing of heat supply to the dwelling is unaffected, and occupants are not required to heat the home at different times to those which they would choose",,,
,,What other considerations must be taken when load-shifting without thermal storage?,"When load-shifting without thermal storage, higher night-time temperatures in bedrooms may cause sleep problems, and heat pump operation at night may disrupt the sleep of some people",,,
,,"What are the costs associated with generation, transmission and distribution of electricity for heat pumps?","The costs associated with generation, transmission and distribution of electricity for heat pumps are believed to be in the hundreds of billions of pounds",,,
,,How much heat storage would be required in an average UK home to make DHW demand flexible?,"An average of 11 kWh of heat storage would be required in an average UK home to make DHW demand flexible, equivalent to around 230 L of hot water storage",,,
,,What is the peak national demand resulting from heat pumps?,"According to Howard and Bengherbi 17, the peak heat pump electricity demand could be 105 GW if 80% of domestic heating is supplied by heat pumps",,,
,,How might the model results differ from the estimate?,"Using the 'Base Case' model, the peak heat pump electricity demand estimate of 105 GW is reduced to 62 GW, while the 'Best Estimate' peak demand is 37 GW",,,
,,What is the proportion of electricity generation required to respond quickly to changes in demand?,The proportion is about the same as at present,,,
,,What proportion of dwelling stock is suitable for low-temperature heating in its existing condition?,It is not clear what proportion of the dwelling stock would be suitable for low-temperature heating in its existing condition,,,
,,#NAME?,#NAME?,,,
,,#NAME?,#NAME?,,,
,,What temperature rise is assumed in the Consumer Transformation scenario?,"A temperature rise of 40Â°C is assumed in the Consumer Transformation scenario, with incoming cold water at 10Â°C and hot water stored at 50Â°C",,,
,,What is the effect of EV charging on peak and load factor?,"The effect of EV charging on peak and load factor is less clear, as it may be easier to shift timing of EV charging compared to heat",,,
,,How is heat demand split in official government statistics?,"Heat demand is split between space heating and DHW using the Cambridge Housing Model, rather than based on actual measurements",,,
,,What are the General improvements in the efficiency of electricity use?,General improvements in the efï¬ciency of electricity use can include changes precipitated by changes of energy price and price structures,,,
,,What is the split between space heating and DHW heat demand in GB homes?,The split between space heating and DHW heat demand in GB homes is not accurately known and would benefit from further research,,,
,,What is the effect of fabric efficiency on sub-daily heating patterns?,The effect of fabric efficiency on sub-daily heating patterns is not currently well known,,,
,,What was the objective of this study?,The objective of this study was to use real monitored data to estimate the heat pump electricity demand in 2050 under a variety of scenarios,,,
,,What components were used to achieve this?,"To achieve this, a combination of previously estimated half-hourly GB heat pump heat demand and a heat pump performance model were used",,,
,,What is the peak GB electricity demand including heat pumps?,The peak GB electricity demand including heat pumps is 132 GW,,,
,,How much could the peak GB electricity demand including heat pumps be reduced by making the timing of DHW demand flexible?,"Making the timing of DHW demand flexible could reduce the peak GB electricity demand including heat pumps by 5%, to 125 GW",,,
,,What is the peak demand and annual demand in 2010 without any flexibilty?,The peak demand is 89 GW and the annual demand is 412 TWh,,,
,,What is the increase in peak demand and annual demand in 2010 compared to historic demands?,The increase in peak demand is 50% and the increase in annual demand is 29%,,,
,,What is the purpose of Lowe et al 2017b work?,Lowe et al 2017b prepared the RHPP dataset and made it readily available for use,,,
,,What are the references used in the text?,"The references used in the text are Barton et al 2013, Baruah et al 2014, BEIS 2017, 2021",,,
,,What is the title of the article 5?,The title of the article 5 is Constructing Design Weather Data for Future Climates,,,
,,What is the source of the sixth carbon budget report 6?,The source of the sixth carbon budget report 6 is the Committee on Climate Change CCC,,,
,,What is the title of DECC & Lowe's 2016 publication?,"The title of DECC & Lowe's 2016 publication is Renewable Heat Premium Payment Scheme Heat Pump Monitoring Raw Data, 2013-2015",,,
,,What is the DOI of Gleeson & Lowe's 2013 publication?,The DOI of Gleeson & Lowe's 2013 publication is 101016/jenbuild2013,,,
,,What is the source of the data analyzed in the final report?,The data analyzed in the final report was from the Renewable Heat Premium Payment RHPP scheme,,,
,,What are the sources of the documents referred to in the cited material?,"The sources of the documents referred to in the cited material include National Grid, National Grid ESO, and the European Heat Pump Association",,,
,,What is the title of the research conducted in 2013 by R Roy and S Caird?,"The title of the research conducted in 2013 by R Roy and S Caird is Diffusion, user experiences and performance of UK domestic heat pumps",,,
,,What is the title of the PhD thesis submitted by Sansom in 2014?,The title of the PhD thesis submitted by Sansom in 2014 is Decarbonising low grade heat for a low carbon future,,,
,,What values emerged as a core value in the construction industry?,Carbon neutrality has emerged as a core value in the construction industry,,,
,,What system boundary was used for this study?,"The system boundary covered the cradle-to-gate perspective, including raw material extraction, transportation, and manufacturing",,,
,,What is the impact of the building sector on global environment?,The building sector has a profound impact on the global environment and shares the responsibility to address climate change,,,
,,What are the methods for evaluating environmental impacts of buildings?,The environmental impacts of buildings are evaluated using two methods - comparisons of building level and per-unit area,,,
,,What are the reasons that comparisons of per-unit area measure the total environmental impact divided by the total floor area can bias?,"The inherent advantages and disadvantages of each building material can cause Structural designers to change the plan or elevation which can result in biased comparisons Additionally, large amounts of data are required to accurately identify trends in a buildingâ€™s environmental impacts",,,
,,What is necessary to identify trends in a building's environmental impacts?,Large amounts of data are required to accurately identify trends in a building's environmental impacts,,,
,,What are the two parameters used to define structural performance?,Moment capacity and bending stiffness are the two parameters used to define structural performance,,,
,,What type of materials were considered for the bill of quantities?,The bill of quantities for the construction project only included the materials constituting the structural member and any finishing materials were not considered,,,
,,What is the functional unit for this study?,The functional unit for this study was a 1 m2 slab 1 m in width and 1 m in length,,,
,,What is the system boundary in this study?,"The system boundary in this study was deï¬ned as cradle-to-gate product stage, including modules A1-A3",,,
,,"What density database was specified by the Ministry of Land, Infrastructure, and Transport?","The density database specified by the Ministry of Land, Infrastructure, and Transport was the density database specified by 10",,,
,,What material was chosen for CLT?,"CLT was chosen because it is generally used in Korea at a strength grade of C-E10-E8 E10 for longitudinal layer, E8 for horizontal layer",,,
,,What does Fig 5 depict?,Fig 5 depicts the design procedure for each member in detail,,,
,,What is the minimum thickness of the concrete slab?,"The concrete slab is assumed to have a minimum thickness of 70 mm, including the cover thickness of the reinforcement bar",,,
,,What is the Environmental Product Declaration EPD?,"The Environmental Product Declaration EPD is a publicly accessible database that objectively reports the environmental performance of products per declared unit eg, 1 m3 or 1 kg based on a life-cycle assessment",,,
,,What is the source of data for concrete and rebar in Korea?,The source of data for concrete and rebar in Korea is a Ministry of Environment database,,,
,,What is the Carbon dioxide emission factor unit?,The Carbon dioxide emission factor unit is kg CO2-eq/m3,,,
,,What is the reference for Carbon storage?,The reference for Carbon storage is 16,,,
,,What is the carbon fraction assumed in the study by Kim et al?,The carbon fraction was assumed to be 05,,,
,,What is Equation 1 used to calculate?,Equation 1 is used to calculate the carbon storage,,,
,,What is the difference between GLT and CLT data?,"GLT data and CLT data differ in their design details, quantities, spans, live load, thickness, rebar, concrete, and timber",,,
,,What is the maximum span of the GLT data?,The maximum span of the GLT data is 85 meters,,,
,,"What is the expected behavior of timber structures, according to Kim et al?","Timber structures are expected to be bulky because timber has a low strength and stiffness, requiring a greater cross-sectional area to achieve the bending capacity of other structures",,,
,,What is the ratio of CLT to RC when the structural performance is equivalent?,The ratio of CLT to RC when the structural performance,,,
,,What is the ratio between RC and CLT when designing with one material?,The ratio between RC and CLT was maintained because quantity is the main controlling factor when designing with a single material,,,
,,How did the CO2 emissions of TCC compared with other materials change as the span increased?,The CO2 emissions ratio of TCC compared with other materials decreased from 50% to 30% as the span increased from 2 to 8 m,,,
,,What trend was observed in the CO2 emission ratio when the live load increased?,The CO2 emission ratio of CLT and TCC slightly increased and decreased respectively when the live load increased,,,
,,How do structural performances of CLT and RC differ when the live load increases?,"To increase the structural performance of CLT, it is necessary to increase the lamination thickness while RC can meet structural performance requirements by reducing the spacing of the rebars in response to increased live loads",,,
,,What is the concretetimber ratio used to achieve equivalent structural performance?,The concretetimber ratio used to achieve equivalent structural performance was reduced,,,
,,How did taking the carbon storage effect into account affect emissions of CO2 from CLT and TCC?,"Taking the carbon storage effect into account estimated emissions of CO2 from CLT and TCC to decrease by approximately 151 % and 92 %, respectively",,,
,,What was the estimated CO2 emissions for CLT and TCC?,The CO2 emissions of CLT and TCC were estimated to be negative,,,
,,What factors can affect the carbon emissions and storage of products?,The carbon emissions and storage of products can be affected by the study used to calculate the emissions,,,
,,What four different material strength scenarios were evaluated in this study?,"Scenario 1 Same conï¬guration concrete compressive strength 27 MPa, CLT strength C-E10-E8, Scenario 2 Reduced concrete compressive strength to 24 MPa, Scenario 3 Increased concrete compressive strength to 30 MPa, Scenario 4 Increased CLT strength to C-E12-E6",,,
,,What was the result of the material strength effect analysis?,"Increasing concrete compressive strength and CLT strength slightly reduced the environmental impact by reducing material quantities, but the environmental performance changed little despite concrete compressive strength and",,,
,,What is the relative environmental impacts of CLT compared with RCs?,"The relative average environmental impacts of CLT were the lowest, followed by TCC and RC CLTs emitted 75% less CO2 compared with RCs",,,
,,What is the effect of structural design on environmental performance of composite structures TCC ?,"The environmental impact of composite structures TCC, such as depends on the structural design The most consequential structural design condition was span, not material strength or live load",,,
,,What are the areas which require further research in this study?,"Further research is required to improve structural and life-cycle assessments, evaluate areas other than the CO2 emissions, and consider the influence of structural design factors like member types, boundary condition, design method, and fire-resistance design",,,
,,Who funded this project?,"This project was funded by the Ministry of Land, Infrastructure and Transport the Korea Agency for Infrastructure Technology Advancement and the Korea Forest Service",,,
,,What are the references provided by the Korea Forest Service?,"The references provided by the Korea Forest Service are H Birgisdottir, A Moncaster, A Houlihan Wiberg, C Chae, K Yokoyama, M Balouktsi, S Seo, T Oka, T LÃ¼tzkendorf, T Malmqvist, IEA EBC annex 57 â€˜evaluation of embodied energy and CO2eq for building constructionâ€™, Luisa F Cabeza, Laura Boquera, Marta ChÃ fer, David VÃ©rez, Embodied energy and embodied carbon of",,,
,,What are the two references mentioned in the text?,References 5 and 6,,,
,,What are the three Korean Standards Association standards mentioned in the text?,"KS F 4009 Ready-mixed Concrete, KS F 2081 Cross laminated timber and KS D 3504 Steel Bars for Concrete Reinforcement",,,
,,What is the title of the article in reference 12?,The title of the article in reference 12 is Design of Timber Structures â€“ Part 1-1 General â€“ Common Rules and Rules for Buildings,,,
,,What is the title of the article in reference 15?,The title of the article in reference 15 is Cross-laminated Timber for Building Construction A Life-Cycle-Assessment Overview,,,
,,What percentage of global electricity consumption is cooling buildings?,Cooling buildings already accounts for over 9% of global electricity demand,,,
,,What percentage of global energy end-use was represented by buildings in 2018?,Buildings represented 30% of global energy end-use in 2018,,,
,,What could be used to unlock daily and sub-daily electrical flexibility?,Thermal storage could be used to unlock daily and sub-daily electrical flexibility,,,
,,What is the percentage of world electricity used for space cooling in 2018?,9%,,,
,,What is the percentage of 2020 US electricity sales represented by the commercial sector?,35%,,,
,,What type of model does the paper propose?,"The paper proposes a flexibility model that is simple to interpret, calibrate, and update through repeated testing",,,
,,What climate does the paper focus on?,The paper focuses on a Warm-summer Mediterranean climate in Northern California,,,
,,What are the implications of the third finding when building flexibility models are considered?,The cyber-physical response of buildings must be captured in order to create accurate building flexibility models,,,
,,What percentage of world building energy use is electricity in 2018?,"In 2018, electricity accounted for 34% of world building energy use",,,
,,What is the value of the untapped opportunity for Grid-interactive Efï¬cient Buildings?,The US Department of Energy estimates the value of the untapped opportunity for Grid-interactive Efï¬cient Buildings to be between $8 billion and $18 billion annually by 2030,,,
,,What kind of opportunities do active management of building energy consumption offer?,"Active management of building energy consumption offers a lower-cost alternative to sizing systems based on peak loads, and can reduce consumption, achieve environmental benefits, and increase resilience in both new and old buildings",,,
,,â€“ How much percentage of US CO2 emissions could be reduced by GEB by 2030?,-6%,,,
,,What is the objective of the design and implementation of commercial building HVAC systems?,The primary control objective of the design and implementation of commercial building HVAC systems is to maintain occupant thermal comfort,,,
,,How is thermal comfort typically treated in HVAC systems?,"Thermal comfort is typically treated as equivalent to maintaining the different zones within temperature â€˜â€˜deadbandsâ€, defined by heating and cooling temperature set points",,,
,,What is the simplest strategy for controlling the temperature in a building?,"The simplest strategy is Global Thermostat Adjustments GTA, in which one master thermostat controls the entire building",,,
,,How much energy demand can be reduced by changing the cooling set point from 72Â°F to 76Â°F?,Increasing the cooling set point from 72Â°F to 76Â°F reduces energy consumption by 10% in a reference medium-sized ofï¬ce building with strong ventilation constraints,,,
,,What two studies focused on energy efficiency from temperature setpoint settings?,"de Chalendar, C McMahon, L Fuentes Valenzuela et al Energy & Buildings 278 2023 112599 and the studies targeting energy efï¬ciency from more ï¬‚exible temperature setpoint settings",,,
,,What are the factors that simulations take into account to evaluate the impact of control strategies?,"Simulations take into account the time of day, day of week, and outside",,,
,,What are the challenges associated with testing real buildings?,"The challenges associated with testing real buildings include having a small sample size, selection of the baseline method and its accuracy, limited site-specific information, and control accuracy",,,
,,What is needed to build confidence in DR technologies?,"To build confidence in DR technologies, it is necessary to have more quantitative statements supported by experiments involving more samples",,,
,,What are the costs associated with deploying the technology of HVAC systems?,The costs associated with deploying the technology of HVAC systems typically require customized and non-scalable integration work to instrument a new unique set of actuators in each new building and tailoring models and control designs,,,
,,What is the approach needed for research to overcome the lack of adoption by industry?,A new research approach is needed to overcome the lack of adoption by industry that would research less invasive control strategies that do not seek to replace the industry standard RBC strategies but instead to augment them,,,
,,What temperatures were adjusted during the experiment?,"Cooling set points were adjusted between a low 74Â°F, 233Â°C and a high 76Â°F, 244Â°C value",,,
,,What set point strategy was used for the experiments?,"A set point strategy similar to Global Temperature Adjustments GTA was used, but with the option to enforce the adjustment for only a fraction of the zones",,,
,,What are the temperature and ventilation requirements for these buildings?,The temperature and ventilation requirements for these buildings are stricter than in other types of buildings,,,
,,Which areas are measured and included in the experimentation testbed?,"The areas measured and included in the experimentation testbed are the office/conference, library/classroom, and research laboratory buildings",,,
,,What are the two types of HVAC systems used in the experiment testbed?,"The two types of HVAC systems used in the experiment testbed are 1 centralized systems comprised of Air Handling Units AHU and Variable Air Volume systems VAVs, and 2 distributed systems comprised of Fan Coil Units FCUs",,,
,,What is a schematic provided in Fig 1A?,The schematic provided in Fig 1A is a AHU-VAV system,,,
,,What are the two parameters that determine the pressure and temperature of the supply air?,The two parameters that determine the pressure and temperature of the supply air are the AHU's fan speeds and the position of a chilled water valve,,,
,,How does the VAV system controller attempt to maintain the zone's temperature?,The VAV system controller attempts to maintain the zone's temperature by keeping it between the cooling and heating set points the temperature 'deadband',,,
,,What is Trim-and-Respond referred to in the industry?,"Trim-and-Respond is a logic referred to in the industry as part of the operations recommended by the American Society of Heating, Refrigerating and Air-Conditioning Engineers ASHRAE",,,
,,How do FCUs extract cooling?,FCUs extract cooling directly from the chilled water loop at the zone-level,,,
,,What is the purpose of the custom software overlay?,The purpose of the custom software overlay is to automatically schedule and send commands and collect and visualize data from the building energy management systems,,,
,,What is the open-source module used to connect to zone-level actuators and sensors?,The open-source module used to connect to zone-level actuators and sensors is the pyhaystack module,,,
,,What is the advantage to Haystack server connecting to network controllers?,The advantage to Haystack server connecting to network controllers is that it is naturally scalable,,,
,,When did data collection start for the experiment monitoring and data collection?,Data collection began on June 16th in all buildings except LAB-5 began June 18th,,,
,,What variables were measured at the campus weather station?,Temperatures and humidity levels were measured at the campus weather station,,,
,,How were building-level cooling loads measured?,Building-level cooling loads were measured from the flow rate of chilled water going through the building and the difference in temperature between the building supply and return water,,,
,,What is the preferred summary statistic for zone-level data?,The median is preferred over the average as a summary statistic that is more robust to the data outliers,,,
,,What is thought to be the cause of communication delays and errors during the experiments?,Communication delays and errors were routinely observed in some buildings and are thought to be due to overloading of network and zone-level controllers,,,
,,What was the purpose of the experiments conducted in 2021?,"The experiments conducted in 2021 were intended to measure the impact of increasing the temperature set point by 2Â°F in the tested buildings on building cooling load, building electricity load excluding for cooling, overall building electricity load including an estimate of electricity for cooling and room temperatures",,,
,,What method was used to estimate the treatment effect associated with the set point change?,The method used to estimate the treatment effect associated with the set point change was ordinary least squares OLS estimates for the model parameters using experimental data collected during the summer of 2021,,,
,,What is the equation used to express the logarithm of energy for cooling?,The equation used to express the logarithm of energy for cooling is log y = aT + bISP + cIW + d + Îµ,,,
,,What is the purpose of the indicator variable IW?,The purpose of the indicator variable IW is to take a value of 1 for weekends and 0 for weekdays,,,
,,What is the main assumption underlying Eq 1?,"The main assumption underlying Eq 1 is that the impact of changing the set point on energy for cooling is a fixed percentage, independent of outside air temperatures",,,
,,How is served cooling loads measured?,Served cooling loads are measured at the building level from the flow rate of chilled water going through the building and the difference between the chilled water temperature in the supply and return loops,,,
,,What is the purpose of Fig2 G and Fig2 H?,"Fig2 G shows the percent increase of served cooling per degree Fahrenheit increase in average OAT, and Fig2 H shows the percent increase of served cooling associated with an average increase of two degrees Fahrenheit in the setpoint",,,
,,What are the R2 statistics for the buildings in TableS2?,The R2 statistics in TableS2 indicate that the predictors collectively explain from 80 to 96% of the variance in cooling load,,,
,,What is the impact of a 10Â°F increase in mean daily OAT?,"A 10Â°F increase in mean daily OAT results in a 20 to 23 factor increase in served cooling in ofï¬ces and classrooms, and a 15 to 17 factor increase in labs",,,
,,What is the sensitivity of served cooling to average OAT?,"The sensitivity of served cooling to average OAT is measured by ^a in TableS2 In the office and classroom buildings, a 1Â°F increase of the average OAT is associated with a 75 to 89% increase in served cooling, and",,,
,,What is the impact of the set point increase on chilled water usage in the laboratory buildings?,The impact of the set point increase on chilled water usage in the laboratory buildings is reduced due to stricter air ventilation requirements,,,
,,What type of HVAC equipment and control logic do the two laboratory buildings rely on?,The two laboratory buildings rely on fixed set point AHUs and variable set point FCUs,,,
,,What is the impact of increasing room temperature set points on building-level electrical energy consumption?,"We compute OLS estimates for a model corresponding to Eq 1 where y is now the buildingâ€™s electrical consumption These measurements exclude electricity for cooling water, but include electricity for moving air throughout the building with the AHU fans The AHU fans are not sub-metered",,,
,,What do the results show for electricity consumption?,FigS3 reports results for electricity consumption in a similar format to Fig 2 and shows a small less than 2% reduction in building electricity consumption when the temperature set points are increased For most buildings in the,,,
,,What is the current US commercial floorspace served by district cooling systems?,42%,,,
,,What is the COP of the central chiller plant that supplies the testbed?,Typically the COP ranges from 35 to 45,,,
,,How is the COP of the electric chillers defined in this study?,"The COP of the electric chillers is defined to be 3 to represent in-building cooling systems, 55 to represent electriï¬ed district cooling systems, and 8 to represent more efï¬cient technologies than what is currently deployed",,,
,,What kind of impact does a 2Â°F set point increase have on the overall daily building electricity load?,"The impact of the 2Â°F set point increase is measured to be 46 to 94% for CONF-1, OFF-2, and OFF-4, 25% for LIB",,,
,,What is the equation of OLS model?,The equation of the OLS model is given by Tp = aT + bISP + cIW + d + Îµ,,,
,,What is the primary objective of the experiment?,The primary objective of the experiment is to study the impact of increasing room temperature set points on room-level temperatures inside the building,,,
,,What is the impact of a 10 F increase in mean daily OAT?,It results in a 01 to 21 F increase in the Tpâ€™s,,,
,,How does the effect of the treatment and of the OAT vary with percentile?,"In some buildings, the effect grows with the percentile, but not in others",,,
,,What could be the symptom of over-cooling from ventilation constraints in multi-zone HVAC systems?,"This is likely the symptom of over-cooling from ventilation constraints in multi-zone HVAC systems, as discussed by several previous authors",,,
,,How do OAT and set point change affect electricity?,"As OAT increases, overcooling decreases, and the Tp's increase To estimate the electricity required for cooling water, different assumptions are made for chiller Coefï¬cient Of Performance COP",,,
